ProductSKU;LinkFROriginal;LinkENOriginal;Brand
MIL2612-20;https://milwaukeetool.widen.net/s/wm88wzgzxo/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2613-20;;https://www.youtube.com/watch?v=i-zPhKSUkIs;MILWAUKEE      
MIL2615-20;https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2621-20;https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2623-20;https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2625-20;https://milwaukeetool.widen.net/s/jfpnvphfdc/2625_m18_hackzall;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2626-20;https://milwaukeetool.widen.net/s/wm88wzgzxo/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2627-20;;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2630-20;https://milwaukeetool.widen.net/s/mgkvjtr79h/2630_m18_circular_saw;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2631-20;https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
MIL2632-22XC;https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk;MILWAUKEE      
