"VideoID";"Link";"DownloadableLink"
"0053-WIDENNET";"https://milwaukeetool.widen.net/s/bc8lvzcpqh/m12fuel_digitaltorquewren";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0054-EDGENET";"https://assets.edgenet.com/f5ea9be5-6057-4c5e-9130-cebd701d7ec6";"https://assets.edgenet.com/f5ea9be5-6057-4c5e-9130-cebd701d7ec6"
"0055-EDGENET";"https://assets.edgenet.com/4639ed3b-bdc1-4cf0-8060-631f17101e03";"https://assets.edgenet.com/4639ed3b-bdc1-4cf0-8060-631f17101e03"
"0056-WIDENNET";"https://milwaukeetool.widen.net/s/2vkh6k6xlh/2470_m12_pvc_shear";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0057-WIDENNET";"https://milwaukeetool.widen.net/s/swn9wswjz7/2471_m12_copper_tubing_cu";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0058-WIDENNET";"https://milwaukeetool.widen.net/s/6cqrnplszx/m12_m18_-forcelogic";"https://previews.us-east-1.widencdn.net/seeds/37973549/assets/asset-view/0/a/5/a/0a5a0f85-8709-4da1-81aa-a2fccecec5ca/video_legacy_hd?Expires=1763913600&Signature=InN8diGRcGANr8~Ad5dyAhtD~QcN4jx3UJBFEIYgROCeUXzYo3Asddb8tmXMaloKa-WS7b3F1StRDTJ-dSDi5PQbuA-6gBF7gPhp3qKDjHvJ0cDB7bSH1Qa2PP5EN1ygX0lpvVyfJFdHXSrX9wdiHTOfAU0jqg8krWdLEDTqv23mwFsHTlCQmzKpQqCg~MRe4FZx7~rKsN~PhqMBjfxPaCKdzuuQ4W9EVn-ikrWiMcFETGI9wawVW3aDdiIUiIg9VCaWyExr8oXqXHGrnARPN-veFtTofRqXTZxT~s-KuuP~G-IPsNFUUKhaUQJsjAIJ7J9oUitC2lxaBIc3iGo3Yg__&Key-Pair-Id=APKAJM7FVRD2EPOYUXBQ"
"0059-EDGENET";"https://assets.edgenet.com//99d5bb66-c4a1-46ae-b88a-6e550593369b";"https://assets.edgenet.com//99d5bb66-c4a1-46ae-b88a-6e550593369b"
"0060-YOUTUBE";"https://www.youtube.com/watch?v=lcTV3wWxwuw";"https://www.youtube.com/watch?v=lcTV3wWxwuw"
"0061-YOUTUBE";"https://www.youtube.com/watch?v=ddE8-e10d-g";"https://www.youtube.com/watch?v=ddE8-e10d-g"
"0062-YOUTUBE";"https://www.youtube.com/watch?v=L4SDkxuNr0o";"https://www.youtube.com/watch?v=L4SDkxuNr0o"
"0063-YOUTUBE";"https://www.youtube.com/watch?v=RJf-eb8vCuI";"https://www.youtube.com/watch?v=RJf-eb8vCuI"
