"VideoID";"APIStatus";"Privacy";"FinalStatus"
"Wm2CKDrw4Uo";"processed";"public";"public"
"yosIMJJOcF8";"processed";"public";"public"
"3_kA33Z9IY4";"processed";"public";"public"
"OrvEJeQx8uE";"processed";"public";"public"
"-Vq9Rwy0Fls";"processed";"public";"public"
"Rv8g_wT8dXY";"processed";"public";"public"
"yYjDngUiSaw";"processed";"public";"public"
"s17_ugXDydw";"processed";"unlisted";"unlisted"
"Vzb8J3pFANQ";"processed";"public";"public"
"wDmSiHiEYWI";"processed";"public";"public"
"BREEHsS8Rmw";"processed";"unlisted";"unlisted"
"4JUxwcU1OJc";"processed";"public";"public"
"FF7oz8C6Mz8";"processed";"public";"public"
"VAe_WClOEp0";"processed";"public";"public"
"W3DFcqSBJaU";"processed";"public";"public"
"2Sn-1NqoOA4";"processed";"public";"public"
"OSSQ3i0eFQI";"processed";"public";"public"
"https://www.youtube.com/watch?v=8cyPotsGOq8";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=tdZW57PK3jU";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=L49EWuiJ16k";"not_found";"";"deleted_or_unavailable"
"https://www.youtube.com/watch?v=z09GR_-cBw0";"not_found";"";"deleted_or_unavailable"
"iQh7RL4sVeY";"processed";"public";"public"
"rBxxU8gT7nY";"processed";"public";"public"
"loaEj_PawpQ";"processed";"public";"public"
"aXYkJD9TWN0";"processed";"public";"public"
"2H7daCTHhME";"processed";"public";"public"
"KH6k_ogxnJU";"processed";"public";"public"
"1_V7oqT9kqU";"processed";"public";"public"
"QodwgFJlp7U";"processed";"public";"public"
"Eb3qjXANCT4";"processed";"public";"public"
